[2026-01-24 10:45:55] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=%3CScRipT%3Ealert%28%22XSS%22%29%3B%3C%2FScRipT%3E | Action: BLOCKED
[2026-01-24 10:45:55] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=%3CScRipT%3Ealert%28%22XSS%22%29%3B%3C%2FScRipT%3E | Action: BLOCKED
[2026-01-24 10:45:55] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=%3CScRipT%3Ealert%28%22XSS%22%29%3B%3C%2FScRipT%3E | Action: BLOCKED
[2026-01-24 10:45:55] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=%3CScRipT%3Ealert%28%22XSS%22%29%3B%3C%2FScRipT%3E | Action: BLOCKED
[2026-01-24 10:45:55] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=%3CScRipT%3Ealert%28%22XSS%22%29%3B%3C%2FScRipT%3E | Action: BLOCKED
[2026-01-24 10:45:55] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=%3CScRipT%3Ealert%28%22XSS%22%29%3B%3C%2FScRipT%3E | Action: BLOCKED
[2026-01-24 10:45:55] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=%3CScRipT%3Ealert%28%22XSS%22%29%3B%3C%2FScRipT%3E | Action: BLOCKED
[2026-01-24 10:45:55] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=%3CScRipT%3Ealert%28%22XSS%22%29%3B%3C%2FScRipT%3E | Action: BLOCKED
[2026-01-24 10:45:56] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:45:56] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:45:56] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:45:56] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:45:56] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:45:56] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:45:56] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:45:56] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:45:56] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:45:56] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:45:56] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:45:56] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:45:56] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:45:56] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:45:56] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:45:56] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:45:57] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:45:57] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:45:57] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:45:57] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:46:01] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:46:13] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:46:25] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:46:25] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:46:25] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:46:25] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:46:25] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:46:25] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:46:25] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:46:25] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:46:25] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:46:25] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:46:25] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:46:25] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:46:25] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:46:25] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:46:25] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:46:25] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:46:25] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:46:25] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:47:05] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:47:05] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:47:05] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:47:05] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:47:05] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:47:05] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:47:05] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:47:05] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:47:05] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:47:05] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:47:05] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:47:05] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:47:05] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:47:05] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:47:05] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:47:05] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:47:05] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:47:05] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:47:05] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:47:05] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:47:36] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:47:36] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:47:36] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:47:36] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:47:36] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:47:36] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:47:36] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:47:36] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:47:36] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:47:36] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:47:36] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:47:36] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:47:36] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:47:36] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:47:36] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:47:36] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:47:36] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:47:36] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:47:36] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:47:36] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:47:47] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:47:47] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:47:47] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:47:47] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:47:47] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:47:47] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:47:47] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:47:47] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
